candidate_k,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne,pareto_nondominated
78,78,0.78,236.55273884318603,337.5062236992661,122220.17954296876,214.12075622726687,167.01418985726815,16.840000000000003,1.0525000000000002,1,0,1
79,79,0.79,238.1096139185319,359.04598519080145,117000.18206249998,214.13442477399943,169.16619557145955,17.080000000000002,1.0675000000000001,1,0,1
80,80,0.8,239.60954464081544,380.18803552516425,115380.18442187499,214.14809506592567,171.31847605274052,17.28,1.08,1,0,1
81,81,0.81,241.42997467265172,404.8147068803237,113940.18680078124,214.1617671033799,173.47103135373774,17.48,1.0925,1,0,1
82,82,0.82,244.09989075797506,439.70767453962196,110700.18912890625,214.1754408866964,175.62386152709104,17.720000000000002,1.1075000000000002,1,0,1
83,83,0.83,247.61171944233783,485.25498679239047,107820.19141796876,214.1891164162096,177.77696662545398,17.98,1.12375,1,0,1
84,84,0.84,251.13550156149097,531.3265897999745,105120.19370703126,214.20279369225412,179.93034670149348,18.2,1.1375,1,0,1
85,85,0.85,257.164970849368,607.6505252362592,98640.19583203126,214.21647271516443,182.08400180788976,18.5,1.15625,1,0,1
86,86,0.86,264.62706509896833,702.9142310247386,91260.19804296875,214.2301534852753,184.23793199733677,18.8,1.175,1,0,1
87,87,0.87,273.79551529260334,821.7243248916934,84780.20025390625,214.24383600292148,186.3921373225417,19.1,1.19375,1,0,1
88,88,0.88,285.106170274829,969.9161132362913,79920.20255078127,214.25752026843782,188.5466178362253,19.400000000000002,1.2125000000000001,1,0,1
89,89,0.89,298.99750168952767,1154.6554105176176,75600.2048515625,214.27120628215926,190.70137359112175,19.700000000000003,1.2312500000000002,1,0,1
90,90,0.9,316.08107794935245,1384.9340881921678,70740.2071953125,214.2848940444208,192.8564046399787,20.0,1.25,1,0,1
91,91,0.91,337.22811843428667,1672.060965543294,66420.20937109376,214.29858355555766,195.01171103555745,20.300000000000004,1.2687500000000003,1,0,1
92,92,0.92,363.1696742521935,2029.764846294236,62100.21155468751,214.31227481590494,197.16729283063256,20.6,1.2875,1,0,1
93,93,0.93,395.0062776926406,2475.3294647780303,55440.2136484375,214.32596782579793,199.3231500779921,20.900000000000006,1.3062500000000004,1,0,1
94,94,0.94,434.0842845666083,3030.2472780034805,51300.215847656254,214.33966258557209,201.47928283043774,21.200000000000003,1.3250000000000002,1,0,1
95,95,0.95,482.0617405878328,3721.251835192624,46440.218046875,214.35335909556275,203.6356911407846,21.500000000000004,1.3437500000000002,1,0,1
96,96,0.96,540.9854680029292,4581.5962440207295,39960.22015625,214.36705735610556,205.79237506186132,21.800000000000004,1.3625000000000003,1,0,1
97,97,0.97,613.382409912678,5652.637668378409,25200.2223125,214.38075736753612,207.94933464651004,22.1,1.38125,1,0,1
98,98,0.98,702.3284530813424,6985.761719588982,20880.224601562495,214.39445913019009,210.10656994758628,22.400000000000002,1.4000000000000001,1,0,1
99,99,0.99,811.6411155231827,8644.880823592286,8640.22687109375,214.40816264440335,212.2640810179593,22.700000000000003,1.4187500000000002,1,0,1
100,100,1.0,945.9384060756979,10709.357729890662,0.22914062499999996,214.4218679105117,214.4218679105117,23.0,1.4375,1,0,1
